Station,SerialNum,Longitude,Latitude,UTM_E,UTM_N,Elev,JulDayN0,JulDayN1
A155,453013447,85.5823734,27.9798179,360581.39,3095775.994,3157.17,100.2454745,127.6307292
A156,453005680,85.5822686,27.9807237,360572.249,3095876.471,3166.93,100.2364236,128.8803125
A157,453005542,85.582101,27.9814682,360556.723,3095959.155,3164.48,100.2318634,129.3112847
A158,453005690,85.581879,27.9825142,360536.24,3096075.296,3181.22,100.2255671,130.2694329
A159,453012720,85.5811812,27.9833937,360468.733,3096173.539,3195.49,100.2210995,127.5166319
A160,453019476,85.5810141,27.9845122,360453.738,3096297.653,3203.3,100.2126968,128.3085069
A161,453012079,85.5804673,27.9852269,360400.886,3096377.464,3194.21,100.2120949,127.5565162
A162,453013363,85.5799534,27.9861827,360351.567,3096483.946,3215.87,100.2031597,127.3289699
A163,453013949,85.5791603,27.9871598,360274.824,3096593.107,3221.96,100.1989468,127.4028125
A164,453012966,85.5784171,27.9880439,360202.878,3096691.914,3236.22,100.1921875,127.1544097
A165,453012178,85.5772756,27.988997,360091.839,3096798.816,3263.26,100.1819792,127.7847338
A166,453012633,85.5758451,27.9898,359952.188,3096889.432,3272.3,100.1760995,124.1591551
A167,453014072,85.5743677,27.990679,359808.027,3096988.518,3267.99,100.1645486,127.4431366
A168,453012783,85.5736132,27.9915309,359734.927,3097083.765,3258.02,100.1633912,126.9408681
A169,453012680,85.5724964,27.9924492,359626.283,3097186.787,3253.79,100.1545486,126.3314699
A170,453005648,85.5706309,27.9934381,359444.097,3097298.5,3296.26,100.1718403,129.0054282
A171,453005699,85.5689219,27.9942524,359277.084,3097390.69,3301.72,100.1903356,126.4401968
A172,453014247,85.5679623,27.9951559,359183.883,3097491.902,3268.04,100.2107292,125.1385069
A173,453011807,85.5679679,27.9961439,359185.72,3097601.359,3252.23,100.2202199,125.3855671
A174,453012373,85.567799,27.996886,359169,3097677,3232,100.2319329,121.820081
A175,453013994,85.5675402,27.9977716,359145.772,3097782.195,3215.69,100.2568403,127.5873727
A176,453012306,85.567509,27.9985798,359143.756,3097871.781,3207.33,100.271956,125.8402662
A177,453005671,85.5671395,27.9993693,359108.448,3097959.679,3208.87,100.2854745,113.212419
A178,453012765,85.5666251,28.0008262,359059.756,3098121.681,3173.17,100.3078125,127.026956
A179,453012131,85.5670772,28.0014729,359105.054,3098192.811,3196.67,100.3354977,126.5360301
A180,453012240,85.566654,28.0023924,359064.635,3098295.175,3213.78,100.3482755,124.9883218
A181,453013856,85.5666192,28.0033128,359062.416,3098397.2,3237.75,100.3614931,125.2428588
AX1,453012103,85.5709786,27.9926251,359477.235,3097208.025,3238.83,100.4353588,126.9264699
AX2,453014066,85.5701041,27.9926428,359391.256,3097211.002,3224.31,100.4482986,126.4085532
AX3,453019080,85.5691101,27.9922864,359293.037,3097172.657,3185.98,100.4522801,127.8375347
AX4,453012020,85.5678601,27.9919747,359169.697,3097139.567,3155.1,100.4749653,127.8354977
AX5,453005795,85.5974873,27.9403043,362017.705,3091380.987,2604.16,101.2598495,129.6515162
AX6,453012725,85.5980013,27.9408112,362068.931,3091436.568,2601.07,101.2764699,128.1614468
B01,453013061,85.566834,27.8658216,358904.999,3083163.798,1541.27,102.165544,129.1085764
B02,453012671,85.5662225,27.86583,358844.799,3083165.431,1535.28,102.1877662,129.6949653
B03,453014342,85.5656776,27.8659042,358791.243,3083174.28,1531.19,102.2009606,128.9728819
B04,453012541,85.5652455,27.8658717,358748.656,3083171.18,1527.07,102.2154514,129.368206
B05,453013156,85.5650147,27.8662942,358726.482,3083218.246,1507.85,102.2394329,129.9124653
B06,453013124,85.5641366,27.8666126,358640.431,3083254.536,1504.16,102.2552894,129.5019329
