# 2023 04 18 00 32 50.939 85.6864  27.5337  14.430  6.36 0 0 0      1
 A077   5.336 1 S
 A076   2.896 1 P
 A076   5.126 1 S
 A070   2.816 1 P
 A070   4.956 1 S
 A069   2.836 1 P
 A133   5.836 1 S
 A133   3.126 1 P
 A068   5.036 1 S
 A068   2.846 1 P
 A007   4.946 1 S
 A134   3.166 1 P
 A067   4.966 1 S
 A008   4.856 1 S
 A147   3.206 1 P
 A155   3.176 1 P
 A162   3.176 1 P
  BX1   2.496 1 P
  BX1   4.416 1 S
  AX3   5.426 1 S
  AX3   3.076 1 P
 A171   5.536 1 S
 A171   3.136 1 P
 A172   5.526 1 S
 A172   3.136 1 P
 A175   3.176 1 P
 A176   5.586 1 S
  C06   3.026 1 P
