# 2023 04 13 00 19  6.761 85.5622  28.1551  10.567  6.21 0 0 0      1
 2D04   4.499 1 S
 A074   3.815 1 P
 A077   3.765 1 P
 A170   3.515 1 P
 A170   6.345 1 S
  AX1   6.305 1 S
 A078   6.585 1 S
 A078   3.755 1 P
 A079   3.765 1 P
 A169   6.025 1 S
 A169   3.525 1 P
 A081   6.855 1 S
 A081   3.855 1 P
 A168   6.215 1 S
 A168   3.535 1 P
 A082   6.625 1 S
 A082   3.765 1 P
 A167   6.405 1 S
 A167   3.555 1 P
 A083   3.765 1 P
 A084   6.425 1 S
 A084   3.745 1 P
 A085   6.495 1 S
 A085   3.755 1 P
 A166   6.395 1 S
 A166   3.575 1 P
 A086   6.465 1 S
 A086   3.755 1 P
 A165   6.465 1 S
 A165   3.595 1 P
 A087   6.855 1 S
 A087   3.815 1 P
 A088   3.745 1 P
 A164   6.185 1 S
 A164   3.605 1 P
 A163   6.245 1 S
 A163   3.595 1 P
 A162   6.215 1 S
 A162   3.595 1 P
 A089   7.195 1 S
 A089   3.845 1 P
 A161   6.215 1 S
 A161   3.595 1 P
 A150   6.555 1 S
 A150   3.595 1 P
 A152   6.605 1 S
 A152   3.645 1 P
 A159   6.385 1 S
 A159   3.645 1 P
 A160   6.255 1 S
 A160   3.635 1 P
 A151   3.615 1 P
 A153   6.435 1 S
 A153   3.615 1 P
 A149   3.685 1 P
 A149   6.905 1 S
 A154   6.265 1 S
 A154   3.605 1 P
 A155   6.235 1 S
 A155   3.615 1 P
 A158   6.475 1 S
 A158   3.615 1 P
 A157   6.265 1 S
 A157   3.625 1 P
 A156   6.305 1 S
 A156   3.615 1 P
 A148   3.665 1 P
 A148   6.505 1 S
 A147   3.695 1 P
 A147   6.705 1 S
 A093   3.845 1 P
 A093   6.825 1 S
 A142   3.685 1 P
 A142   6.325 1 S
 A146   3.695 1 P
 A146   6.735 1 S
 A144   3.685 1 P
 A144   6.695 1 S
 A136   3.715 1 P
 A145   3.685 1 P
 A145   6.715 1 S
 A141   3.725 1 P
 A141   6.575 1 S
 A139   3.675 1 P
 A139   6.625 1 S
 A138   3.745 1 P
 A134   3.735 1 P
 A134   6.675 1 S
 A133   3.725 1 P
 A094   3.835 1 P
 A132   3.705 1 P
 A095   3.875 1 P
 A095   6.865 1 S
 A096   3.845 1 P
 A096   7.105 1 S
 A097   3.845 1 P
 A098   3.855 1 P
 A098   6.765 1 S
 A099   3.835 1 P
 A099   6.845 1 S
 A100   3.845 1 P
 A100   6.945 1 S
 A111   3.765 1 P
 A111   6.795 1 S
  AX5   3.725 1 P
 A109   3.775 1 P
  AX6   3.745 1 P
 A108   6.695 1 S
 A108   3.805 1 P
 A107   6.865 1 S
 A107   3.805 1 P
 A106   3.835 1 P
 2D22   7.655 1 S
# 2023 04 13 10 39  6.309 85.5319  28.1733  15.892  6.53 0 0 0      8
  C68   2.631 1 P
  C67   4.601 1 S
  C67   2.641 1 P
  C57   4.771 1 S
  C57   2.721 1 P
  C56   4.791 1 S
  C56   2.731 1 P
  C55   4.781 1 S
  C55   2.681 1 P
 2D07   4.471 1 S
 2D07   2.561 1 P
  B41   5.511 1 S
  B41   2.951 1 P
  B42   5.381 1 S
  B42   2.921 1 P
  B38   2.931 1 P
  B34   2.971 1 P
  B34   5.411 1 S
  B33   3.001 1 P
  B33   5.371 1 S
  C20   5.111 1 S
  B31   5.571 1 S
  B31   2.951 1 P
  C19   2.991 1 P
  C19   5.171 1 S
  C18   2.921 1 P
  C18   5.171 1 S
  C17   2.911 1 P
  BX3   3.041 1 P
  C13   5.171 1 S
  C13   2.971 1 P
  C07   5.351 1 S
 A014   3.241 1 P
 A014   5.731 1 S
 A009   3.391 1 P
 A009   6.081 1 S
 A008   3.401 1 P
 A165   3.191 1 P
 A165   5.481 1 S
 A164   3.141 1 P
 A164   5.471 1 S
 A163   3.121 1 P
 A162   5.461 1 S
 A162   3.121 1 P
 A161   5.461 1 S
 A161   3.161 1 P
 A160   5.511 1 S
 A160   3.171 1 P
 A159   5.511 1 S
 A159   3.161 1 P
 A158   5.491 1 S
 A158   3.161 1 P
 A150   5.481 1 S
 A150   3.161 1 P
 A157   5.471 1 S
 A157   3.151 1 P
 A152   5.521 1 S
 A152   3.161 1 P
 A156   5.491 1 S
 A156   3.161 1 P
 A155   5.461 1 S
 A155   3.131 1 P
 A154   5.451 1 S
 A154   3.131 1 P
 A151   5.491 1 S
 A151   3.131 1 P
 A153   5.481 1 S
 A153   3.131 1 P
 A149   5.561 1 S
 A149   3.191 1 P
 A148   5.571 1 S
 A148   3.201 1 P
 A147   5.621 1 S
 A147   3.201 1 P
 A086   5.651 1 S
 A086   3.241 1 P
 A146   5.641 1 S
 A146   3.181 1 P
 A145   5.611 1 S
 A145   3.191 1 P
 A144   5.631 1 S
 A144   3.191 1 P
 A142   5.561 1 S
 A143   3.251 1 P
 A136   5.591 1 S
 A136   3.211 1 P
 A135   5.731 1 S
 A135   3.201 1 P
 A134   5.631 1 S
 A134   3.221 1 P
 A133   3.211 1 P
 A095   3.351 1 P
 A095   5.971 1 S
 A098   3.281 1 P
 A098   5.831 1 S
# 2023 04 13 11 30 29.682 85.6157  27.5466  13.497  6.02 0 0 0      9
 2D20   4.478 1 S
 2D19   4.308 1 S
 2D19   2.428 1 P
  AX5   2.438 1 P
 A134   2.748 1 P
 A135   2.708 1 P
 A139   2.758 1 P
 A141   2.778 1 P
 A142   2.788 1 P
 A144   2.808 1 P
 A145   2.818 1 P
 A146   2.828 1 P
 A147   2.858 1 P
 A154   4.938 1 S
 A154   2.858 1 P
 A155   5.008 1 S
 A155   2.848 1 P
 A157   2.878 1 P
 A162   5.078 1 S
 A162   2.938 1 P
 A163   5.278 1 S
 A163   2.938 1 P
 A165   2.988 1 P
  AX3   2.998 1 P
  AX4   5.258 1 S
  AX4   3.018 1 P
  C05   3.108 1 P
  C05   5.378 1 S
  C07   3.098 1 P
  C07   5.308 1 S
 2D09   2.828 1 P
 2D09   5.108 1 S
  C62   5.308 1 S
  C65   3.068 1 P
  C65   5.158 1 S
  C71   3.088 1 P
  C71   5.208 1 S
 2D06   4.478 1 S
 2D06   2.598 1 P
