# 2023 04 12 00 30 33.397 85.3933  28.3791  37.190  7.68 0 0 0      1
 A139   4.348 1 P
 A108   4.068 1 P
 A107   4.058 1 P
 A153   4.458 1 P
 A153   7.758 1 S
 A164   4.568 1 P
 A164   8.058 1 S
  AX5   4.058 1 P
 A109   4.088 1 P
 A110   4.118 1 P
 A110   7.408 1 S
 A133   4.298 1 P
 A133   8.048 1 S
 A152   7.978 1 S
 A152   4.458 1 P
 A134   4.328 1 P
 A134   7.498 1 S
 A151   4.418 1 P
 A135   4.338 1 P
 A149   4.458 1 P
 A136   4.308 1 P
 A165   8.078 1 S
 A165   4.588 1 P
 A166   8.158 1 S
 A166   4.628 1 P
 A101   4.048 1 P
 A168   4.658 1 P
 A169   4.648 1 P
 A099   4.118 1 P
 A098   4.088 1 P
 A170   8.188 1 S
 A170   4.688 1 P
 A096   4.108 1 P
 A176   8.298 1 S
 A175   4.748 1 P
 A175   8.198 1 S
 A171   8.778 1 S
 A173   4.788 1 P
 A173   8.348 1 S
 A095   7.178 1 S
 A095   4.128 1 P
 A172   4.768 1 P
  C02   4.768 1 P
  C02   8.198 1 S
  AX3   8.078 1 S
  AX3   4.698 1 P
  C99   4.778 1 P
  C99   8.208 1 S
  C06   4.788 1 P
  C06   8.198 1 S
  C07   4.808 1 P
  C07   8.188 1 S
  C08   4.778 1 P
  C08   8.188 1 S
  C09   4.788 1 P
  C09   8.228 1 S
  C11   4.808 1 P
  C11   8.548 1 S
  C12   4.818 1 P
  C12   8.378 1 S
  C13   4.828 1 P
  C13   8.358 1 S
  C14   4.858 1 P
  C14   8.298 1 S
  C15   4.818 1 P
  C17   4.858 1 P
  C17   8.558 1 S
  C18   4.858 1 P
  C18   8.458 1 S
  C19   4.878 1 P
  C19   8.358 1 S
  C20   4.888 1 P
  C41   4.818 1 P
  C41   8.308 1 S
  C43   4.778 1 P
  C42   8.398 1 S
  C42   4.848 1 P
  C48   4.938 1 P
  C49   4.928 1 P
  C49   8.538 1 S
  C50   4.938 1 P
  C50   8.628 1 S
  C51   4.938 1 P
  C51   8.488 1 S
  C52   4.938 1 P
  C52   8.668 1 S
  C53   4.948 1 P
  C53   8.678 1 S
 A086   4.228 1 P
 A086   7.698 1 S
  C54   4.988 1 P
  C54   8.548 1 S
  C55   4.988 1 P
  C55   8.458 1 S
  C56   4.938 1 P
  C56   8.508 1 S
  C57   4.998 1 P
  C57   8.488 1 S
  C58   4.978 1 P
  C58   8.468 1 S
  C59   4.938 1 P
  C59   8.508 1 S
 A084   4.248 1 P
 A084   7.398 1 S
  C60   4.988 1 P
  C60   8.528 1 S
  C61   5.058 1 P
  C61   8.588 1 S
  C62   5.128 1 P
  C62   8.648 1 S
  C63   5.048 1 P
  C63   8.558 1 S
  C64   5.108 1 P
  C64   8.568 1 S
  C65   5.108 1 P
  C65   8.568 1 S
  C70   5.058 1 P
  C69   5.018 1 P
  C68   5.008 1 P
  C68   8.528 1 S
  C67   5.058 1 P
  C67   8.558 1 S
  C71   5.028 1 P
  C71   8.598 1 S
  C73   5.028 1 P
 2D09   8.138 1 S
 2D09   4.738 1 P
 A077   4.368 1 P
 A076   4.388 1 P
 A070   4.368 1 P
 2D08   5.498 1 P
 A010   4.828 1 P
# 2023 04 12 05 14 28.035 85.6495  27.4959  12.349  6.30 0 0 0      7
 2D20   2.025 1 P
 2D20   3.925 1 S
 2D22   2.565 1 P
 2D22   4.575 1 S
 2D19   2.195 1 P
 2D19   4.115 1 S
 A099   2.465 1 P
 A099   4.615 1 S
 A096   2.485 1 P
 A095   2.455 1 P
 A146   2.925 1 P
 A146   5.195 1 S
 A156   3.065 1 P
 A156   5.315 1 S
 A157   3.045 1 P
 A158   3.085 1 P
 A155   3.015 1 P
 A155   5.285 1 S
 A154   3.015 1 P
 A154   5.275 1 S
 A162   3.115 1 P
 A162   5.445 1 S
 A164   3.185 1 P
 A164   5.515 1 S
 A165   3.195 1 P
 A167   3.195 1 P
 A167   5.625 1 S
  C03   3.545 1 P
  C03   5.865 1 S
 A045   4.565 1 S
 A045   2.555 1 P
 A038   4.425 1 S
 A038   2.475 1 P
 A037   4.425 1 S
 A037   2.505 1 P
 A036   2.515 1 P
 A009   4.595 1 S
# 2023 04 12 12 05 45.667 85.6392  27.5267  12.727  6.32 0 0 0      8
 2D20   2.323 1 P
 2D20   4.173 1 S
 2D19   2.363 1 P
 A106   2.443 1 P
 A106   4.463 1 S
 A107   2.443 1 P
 A107   4.453 1 S
 A101   2.393 1 P
 A101   4.393 1 S
 A100   2.423 1 P
 A100   4.463 1 S
 A099   2.423 1 P
 A099   4.483 1 S
 A098   2.433 1 P
 A098   4.493 1 S
 A097   2.443 1 P
 A097   4.643 1 S
 A096   2.433 1 P
 A096   4.553 1 S
 A095   2.403 1 P
 A095   4.543 1 S
 A132   2.673 1 P
 A093   2.393 1 P
 A133   2.603 1 P
 A134   2.733 1 P
 A135   2.743 1 P
 A135   4.953 1 S
 A139   2.773 1 P
 A140   2.803 1 P
 A141   2.803 1 P
 A141   4.983 1 S
 A136   2.743 1 P
